STA00000147,19660206,MAX,75,,,SD,
STA00000147,19660206,MIN,41,,,SD,
STA00010000,19660206,ERR,0,,,SD,
STA00010095,19660206,MAX,24,,,SD,
STA00010095,19660206,MIN,-3,,,SD,
STA00000147,19660207,MAX,73,,,SD,
STA00000147,19660207,MIN,35,,,SD,
STA00010000,19660207,ERR,6,,,SD,
STA00010095,19660207,MAX,4,,,SD,
STA00010095,19660207,MIN,-22,,,SD,
STA00000147,19660208,MAX,50,,,SD,
STA00000147,19660208,MIN,25,,,SD,
STA00010000,19660208,ERR,0,,,SD,
STA00010095,19660208,MAX,-20,,,SD,
STA00010095,19660208,MIN,-39,,,SD,
STA00000147,19660209,MAX,35,,,SD,
STA00000147,19660209,MIN,0,,,SD,
STA00010000,19660209,ERR,0,,,SD,
STA00010095,19660209,MAX,-17,,,SD,
STA00010095,19660209,MIN,-36,,,SD,
STA00000147,19660210,MAX,38,,,SD,
STA00000147,19660210,MIN,16,,,SD,
STA00010000,19660210,ERR,0,,,SD,
STA00010095,19660210,MAX,-25,,,SD,
STA00010095,19660210,MIN,-69,,,SD,
STA00000147,19660211,MAX,21,,,SD,
STA00000147,19660211,MIN,9,,,SD,
STA00010000,19660211,ERR,0,,,SD,
STA00010095,19660211,MAX,-34,,,SD,
STA00010095,19660211,MIN,-102,,,SD,
STA00000147,19660212,MAX,13,,,SD,
STA00000147,19660212,MIN,3,,,SD,
STA00010000,19660212,ERR,0,,,SD,
STA00010095,19660212,MAX,-22,,,SD,
STA00010095,19660212,MIN,-78,,,SD,
STA00000147,19660213,MAX,13,,,SD,
STA00000147,19660213,MIN,0,,,SD,
STA00010000,19660213,ERR,0,,,SD,
STA00010095,19660213,MAX,1,,,SD,
STA00010095,19660213,MIN,-42,,,SD,
STA00000147,19660214,MAX,13,,,SD,
STA00000147,19660214,MIN,0,,,SD,
STA00010000,19660214,ERR,0,,,SD,
STA00010095,19660214,MAX,5,,,SD,
STA00010095,19660214,MIN,-35,,,SD,
STA00000147,19660215,MAX,21,,,SD,
STA00000147,19660215,MIN,13,,,SD,
STA00010000,19660215,ERR,0,,,SD,
STA00010095,19660215,MAX,18,,,SD,
STA00010095,19660215,MIN,0,,,SD,
STA00000147,19660216,MAX,75,,,SD,
STA00000147,19660216,MIN,13,,,SD,
STA00010000,19660216,ERR,7,,,SD,
STA00010095,19660216,MAX,24,,,SD,
STA00010095,19660216,MIN,-6,,,SD,
STA00000147,19660217,MAX,71,,,SD,
STA00000147,19660217,MIN,23,,,SD,
STA00010000,19660217,ERR,0,,,SD,
STA00010095,19660217,MAX,20,,,SD,
STA00010095,19660217,MIN,-13,,,SD,
STA00000147,19660218,MAX,48,,,SD,
STA00000147,19660218,MIN,21,,,SD,
STA00010000,19660218,ERR,0,,,SD,
STA00010095,19660218,MAX,0,,,SD,
STA00010095,19660218,MIN,-52,,,SD,
STA00000147,19660219,MAX,50,,,SD,
STA00000147,19660219,MIN,38,,,SD,
STA00010000,19660219,ERR,0,,,SD,
STA00010095,19660219,MAX,-6,,,SD,
STA00010095,19660219,MIN,-50,,,SD,
STA00000147,19660220,MAX,66,,,SD,
STA00000147,19660220,MIN,38,,,SD,
STA00010000,19660220,ERR,0,,,SD,
STA00010095,19660220,MAX,-34,,,SD,
STA00010095,19660220,MIN,-72,,,SD,
STA00000147,19660221,MAX,66,,,SD,
STA00000147,19660221,MIN,25,,,SD,
STA00010000,19660221,ERR,0,,,SD,
STA00010095,19660221,MAX,-16,,,SD,
STA00010095,19660221,MIN,-60,,,SD,
STA00000147,19660222,MAX,63,,,SD,
